FT_PROFILE: captured 300 schedule() calls
Output path: results_v2/8B_overnight_2026-04-09/04_cprofile/ft_schedule_profile.txt

=== Per-section wall timing (ms) ===
Section                                              avg        p50        p95
_process_pending_admissions                       0.007ms     0.002ms     0.059ms
self._base.schedule()                             0.524ms     0.484ms     0.860ms
self._ft.run_checkpoint_step (if enabled)         0.070ms     0.066ms     0.105ms
TOTAL                                             0.601ms     0.552ms     1.024ms

=== cProfile: top 50 by cumulative time ===
         310745 function calls in 0.177 seconds

   Ordered by: cumulative time
   List reduced from 147 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      300    0.031    0.000    0.156    0.001 scheduler.py:426(schedule)
     3365    0.017    0.000    0.075    0.000 kv_cache_manager.py:206(allocate_slots)
     3365    0.004    0.000    0.019    0.000 kv_cache_coordinator.py:143(allocate_new_blocks)
      300    0.000    0.000    0.018    0.000 ft_scheduler.py:248(run_checkpoint_step)
      300    0.001    0.000    0.018    0.000 checkpoint_controller.py:345(get_requests_to_checkpoint)
     3365    0.005    0.000    0.017    0.000 kv_cache_coordinator.py:71(get_num_blocks_to_allocate)
     3375    0.003    0.000    0.017    0.000 checkpoint_controller.py:309(should_checkpoint)
      300    0.008    0.000    0.016    0.000 scheduler.py:1165(_make_cached_request_data)
     6730    0.003    0.000    0.015    0.000 kv_cache_coordinator.py:167(<genexpr>)
      300    0.006    0.000    0.012    0.000 async_scheduler.py:13(_update_after_schedule)
     3365    0.002    0.000    0.012    0.000 kv_cache_coordinator.py:178(cache_blocks)
     3365    0.003    0.000    0.010    0.000 single_type_kv_cache_manager.py:235(cache_blocks)
     3365    0.005    0.000    0.009    0.000 single_type_kv_cache_manager.py:73(get_num_blocks_to_allocate)
     3365    0.003    0.000    0.008    0.000 single_type_kv_cache_manager.py:208(allocate_new_blocks)
     3418    0.001    0.000    0.008    0.000 checkpoint_controller.py:302(get_checkpoint_level)
     7385    0.003    0.000    0.007    0.000 {built-in method builtins.isinstance}
      233    0.003    0.000    0.007    0.000 block_pool.py:209(cache_full_blocks)
     3418    0.002    0.000    0.007    0.000 checkpoint_controller.py:187(_get_reporting_level)
     3375    0.003    0.000    0.006    0.000 checkpoint_controller.py:265(_should_checkpoint_by_economic_policy)
     3365    0.002    0.000    0.006    0.000 kv_cache_manager.py:65(get_block_ids)
    51656    0.005    0.000    0.005    0.000 {built-in method builtins.len}
     3418    0.002    0.000    0.005    0.000 request.py:362(generation_progress)
     6730    0.002    0.000    0.005    0.000 request.py:295(has_encoder_inputs)
    20243    0.004    0.000    0.005    0.000 {built-in method builtins.min}
     6730    0.002    0.000    0.004    0.000 abc.py:117(__instancecheck__)
     3365    0.002    0.000    0.004    0.000 kv_cache_coordinator.py:218(remove_skipped_blocks)
      300    0.002    0.000    0.004    0.000 scheduler.py:1092(_update_after_schedule)
      233    0.001    0.000    0.004    0.000 block_pool.py:300(get_new_blocks)
     4246    0.002    0.000    0.004    0.000 utils.py:387(record_function_or_nullcontext)
      233    0.001    0.000    0.003    0.000 checkpoint_cost_model.py:107(should_publish)
     3346    0.001    0.000    0.003    0.000 {built-in method builtins.all}
      300    0.001    0.000    0.003    0.000 request_queue.py:303(create_request_queue)
     3346    0.002    0.000    0.003    0.000 request.py:283(num_tokens_with_spec)
     6787    0.002    0.000    0.003    0.000 request.py:279(num_tokens)
      600    0.001    0.000    0.002    0.000 _collections_abc.py:821(get)
     6730    0.002    0.000    0.002    0.000 request.py:291(num_encoder_inputs)
     1165    0.002    0.000    0.002    0.000 checkpoint_cost_model.py:65(_interp)
     3403    0.001    0.000    0.002    0.000 kv_cache_manager.py:486(create_kv_cache_blocks)
     6764    0.002    0.000    0.002    0.000 request.py:287(num_output_tokens)
     6730    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
     3365    0.002    0.000    0.002    0.000 single_type_kv_cache_manager.py:343(remove_skipped_blocks)
    15321    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    19077    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
     6730    0.002    0.000    0.002    0.000 math_utils.py:10(cdiv)
     6692    0.002    0.000    0.002    0.000 kv_cache_manager.py:78(<genexpr>)
     1911    0.001    0.000    0.002    0.000 kv_cache_utils.py:47(make_block_hash_with_group_id)
      600    0.001    0.000    0.002    0.000 os.py:675(__getitem__)
      466    0.000    0.000    0.002    0.000 checkpoint_cost_model.py:95(t_prefill)
      300    0.000    0.000    0.002    0.000 ft_scheduler_impl.py:305(_process_pending_admissions)
      300    0.000    0.000    0.002    0.000 kv_cache_manager.py:425(get_num_common_prefix_blocks)



=== cProfile: top 50 by total time (excluding subcalls) ===
         310745 function calls in 0.177 seconds

   Ordered by: internal time
   List reduced from 147 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      300    0.031    0.000    0.156    0.001 scheduler.py:426(schedule)
     3365    0.017    0.000    0.075    0.000 kv_cache_manager.py:206(allocate_slots)
      300    0.008    0.000    0.016    0.000 scheduler.py:1165(_make_cached_request_data)
      300    0.006    0.000    0.012    0.000 async_scheduler.py:13(_update_after_schedule)
     3365    0.005    0.000    0.009    0.000 single_type_kv_cache_manager.py:73(get_num_blocks_to_allocate)
    51656    0.005    0.000    0.005    0.000 {built-in method builtins.len}
     3365    0.005    0.000    0.017    0.000 kv_cache_coordinator.py:71(get_num_blocks_to_allocate)
    20243    0.004    0.000    0.005    0.000 {built-in method builtins.min}
     3365    0.004    0.000    0.019    0.000 kv_cache_coordinator.py:143(allocate_new_blocks)
     6730    0.003    0.000    0.015    0.000 kv_cache_coordinator.py:167(<genexpr>)
     3365    0.003    0.000    0.008    0.000 single_type_kv_cache_manager.py:208(allocate_new_blocks)
      233    0.003    0.000    0.007    0.000 block_pool.py:209(cache_full_blocks)
     7385    0.003    0.000    0.007    0.000 {built-in method builtins.isinstance}
     3365    0.003    0.000    0.010    0.000 single_type_kv_cache_manager.py:235(cache_blocks)
     3375    0.003    0.000    0.017    0.000 checkpoint_controller.py:309(should_checkpoint)
     3375    0.003    0.000    0.006    0.000 checkpoint_controller.py:265(_should_checkpoint_by_economic_policy)
     3418    0.002    0.000    0.005    0.000 request.py:362(generation_progress)
     4246    0.002    0.000    0.004    0.000 utils.py:387(record_function_or_nullcontext)
     6730    0.002    0.000    0.005    0.000 request.py:295(has_encoder_inputs)
     1165    0.002    0.000    0.002    0.000 checkpoint_cost_model.py:65(_interp)
     3365    0.002    0.000    0.006    0.000 kv_cache_manager.py:65(get_block_ids)
     6730    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
    15321    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     3365    0.002    0.000    0.004    0.000 kv_cache_coordinator.py:218(remove_skipped_blocks)
