FT_PROFILE: captured 300 schedule() calls
Output path: results_v2/8B_overnight_2026-04-09/05_nockpt_cprofile/ft_schedule_profile.txt

=== Per-section wall timing (ms) ===
Section                                              avg        p50        p95
_process_pending_admissions                       0.005ms     0.003ms     0.004ms
self._base.schedule()                             0.323ms     0.297ms     0.534ms
self._ft.run_checkpoint_step (if enabled)         0.001ms     0.001ms     0.002ms
TOTAL                                             0.328ms     0.301ms     0.540ms

=== cProfile: top 50 by cumulative time ===
         125212 function calls in 0.097 seconds

   Ordered by: cumulative time
   List reduced from 138 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      300    0.021    0.000    0.096    0.000 scheduler.py:426(schedule)
     1426    0.009    0.000    0.040    0.000 kv_cache_manager.py:206(allocate_slots)
      300    0.005    0.000    0.010    0.000 scheduler.py:1165(_make_cached_request_data)
     1426    0.003    0.000    0.010    0.000 kv_cache_coordinator.py:71(get_num_blocks_to_allocate)
     1426    0.002    0.000    0.010    0.000 kv_cache_coordinator.py:143(allocate_new_blocks)
      300    0.004    0.000    0.008    0.000 async_scheduler.py:13(_update_after_schedule)
     2852    0.002    0.000    0.007    0.000 kv_cache_coordinator.py:167(<genexpr>)
     1426    0.001    0.000    0.005    0.000 kv_cache_coordinator.py:178(cache_blocks)
     1426    0.003    0.000    0.005    0.000 single_type_kv_cache_manager.py:73(get_num_blocks_to_allocate)
     1426    0.001    0.000    0.004    0.000 single_type_kv_cache_manager.py:235(cache_blocks)
     1426    0.002    0.000    0.004    0.000 single_type_kv_cache_manager.py:208(allocate_new_blocks)
     3174    0.001    0.000    0.004    0.000 {built-in method builtins.isinstance}
      300    0.001    0.000    0.003    0.000 request_queue.py:303(create_request_queue)
     1426    0.001    0.000    0.003    0.000 kv_cache_manager.py:65(get_block_ids)
       96    0.001    0.000    0.003    0.000 block_pool.py:209(cache_full_blocks)
    23281    0.003    0.000    0.003    0.000 {built-in method builtins.len}
     2852    0.001    0.000    0.003    0.000 request.py:295(has_encoder_inputs)
      300    0.001    0.000    0.003    0.000 scheduler.py:1092(_update_after_schedule)
     2852    0.001    0.000    0.002    0.000 abc.py:117(__instancecheck__)
     2318    0.002    0.000    0.002    0.000 utils.py:387(record_function_or_nullcontext)
     1426    0.001    0.000    0.002    0.000 kv_cache_coordinator.py:218(remove_skipped_blocks)
     7138    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      300    0.000    0.000    0.002    0.000 kv_cache_manager.py:425(get_num_common_prefix_blocks)
      300    0.000    0.000    0.002    0.000 kv_cache_coordinator.py:201(get_num_common_prefix_blocks)
     1418    0.001    0.000    0.002    0.000 {built-in method builtins.all}
      300    0.001    0.000    0.002    0.000 _collections_abc.py:821(get)
       96    0.000    0.000    0.002    0.000 block_pool.py:300(get_new_blocks)
      300    0.000    0.000    0.002    0.000 kv_cache_coordinator.py:213(<listcomp>)
     1418    0.001    0.000    0.001    0.000 request.py:283(num_tokens_with_spec)
     2876    0.001    0.000    0.001    0.000 request.py:279(num_tokens)
     2852    0.001    0.000    0.001    0.000 request.py:291(num_encoder_inputs)
     2852    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     1442    0.001    0.000    0.001    0.000 kv_cache_manager.py:486(create_kv_cache_blocks)
      300    0.001    0.000    0.001    0.000 os.py:675(__getitem__)
      300    0.001    0.000    0.001    0.000 single_type_kv_cache_manager.py:450(get_num_common_prefix_blocks)
     1426    0.001    0.000    0.001    0.000 single_type_kv_cache_manager.py:343(remove_skipped_blocks)
     2836    0.001    0.000    0.001    0.000 kv_cache_manager.py:78(<genexpr>)
     8169    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     2852    0.001    0.000    0.001    0.000 math_utils.py:10(cdiv)
     5035    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      300    0.000    0.000    0.001    0.000 ft_scheduler_impl.py:305(_process_pending_admissions)
     2318    0.001    0.000    0.001    0.000 contextlib.py:732(__init__)
      733    0.001    0.000    0.001    0.000 kv_cache_utils.py:47(make_block_hash_with_group_id)
     1426    0.001    0.000    0.001    0.000 request.py:287(num_output_tokens)
       96    0.001    0.000    0.001    0.000 kv_cache_utils.py:245(popleft_n)
      300    0.001    0.000    0.001    0.000 <string>:2(__init__)
      711    0.000    0.000    0.001    0.000 block_pool.py:73(insert)
      300    0.000    0.000    0.001    0.000 os.py:755(encode)
     2852    0.000    0.000    0.000    0.000 request.py:275(use_structured_output)
     1442    0.000    0.000    0.000    0.000 {built-in method builtins.max}



=== cProfile: top 50 by total time (excluding subcalls) ===
         125212 function calls in 0.097 seconds

   Ordered by: internal time
   List reduced from 138 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      300    0.021    0.000    0.096    0.000 scheduler.py:426(schedule)
     1426    0.009    0.000    0.040    0.000 kv_cache_manager.py:206(allocate_slots)
      300    0.005    0.000    0.010    0.000 scheduler.py:1165(_make_cached_request_data)
      300    0.004    0.000    0.008    0.000 async_scheduler.py:13(_update_after_schedule)
     1426    0.003    0.000    0.005    0.000 single_type_kv_cache_manager.py:73(get_num_blocks_to_allocate)
    23281    0.003    0.000    0.003    0.000 {built-in method builtins.len}
     1426    0.003    0.000    0.010    0.000 kv_cache_coordinator.py:71(get_num_blocks_to_allocate)
     1426    0.002    0.000    0.010    0.000 kv_cache_coordinator.py:143(allocate_new_blocks)
     7138    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     2852    0.002    0.000    0.007    0.000 kv_cache_coordinator.py:167(<genexpr>)
     1426    0.002    0.000    0.004    0.000 single_type_kv_cache_manager.py:208(allocate_new_blocks)
     2318    0.002    0.000    0.002    0.000 utils.py:387(record_function_or_nullcontext)
     3174    0.001    0.000    0.004    0.000 {built-in method builtins.isinstance}
      300    0.001    0.000    0.003    0.000 scheduler.py:1092(_update_after_schedule)
     1426    0.001    0.000    0.004    0.000 single_type_kv_cache_manager.py:235(cache_blocks)
     2852    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     1426    0.001    0.000    0.003    0.000 kv_cache_manager.py:65(get_block_ids)
     2852    0.001    0.000    0.003    0.000 request.py:295(has_encoder_inputs)
      300    0.001    0.000    0.003    0.000 request_queue.py:303(create_request_queue)
     1426    0.001    0.000    0.002    0.000 kv_cache_coordinator.py:218(remove_skipped_blocks)
     2852    0.001    0.000    0.002    0.000 abc.py:117(__instancecheck__)
       96    0.001    0.000    0.003    0.000 block_pool.py:209(cache_full_blocks)
     1418    0.001    0.000    0.001    0.000 request.py:283(num_tokens_with_spec)
     2852    0.001    0.000    0.001    0.000 request.py:291(num_encoder_inputs)
     8169    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     1426    0.001    0.000    0.005    0.000 kv_cache_coordinator.py:178(cache_blocks)
     2876    0.001    0.000    0.001    0.000 request.py:279(num_tokens)
      300    0.001    0.000    0.001    0.000 single_type_kv_cache_manager.py:450(get_num_common_prefix_blocks)
     2852    0.001    0.000    0.001    0.000 math_utils.py:10(cdiv)
     2836    0.001    0.000    0.001    0.000 kv_cache_manager.py:78(<genexpr>)
     1426    0.001    0.000    0.001    0.000 single_type_kv_cache_manager.py:343(remove_skipped_blocks)
