FT_PROFILE: captured 300 schedule() calls
Output path: results_v2/8B_overnight_2026-04-09/07_cprofile_nofault/ft_schedule_profile.txt

=== Per-section wall timing (ms) ===
Section                                              avg        p50        p95
_process_pending_admissions                       0.008ms     0.003ms     0.055ms
self._base.schedule()                             0.617ms     0.571ms     0.934ms
self._ft.run_checkpoint_step (if enabled)         0.075ms     0.069ms     0.130ms
TOTAL                                             0.700ms     0.643ms     1.120ms

=== cProfile: top 50 by cumulative time ===
         306587 function calls in 0.207 seconds

   Ordered by: cumulative time
   List reduced from 148 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      300    0.037    0.000    0.184    0.001 scheduler.py:426(schedule)
     3294    0.020    0.000    0.091    0.000 kv_cache_manager.py:206(allocate_slots)
     3294    0.005    0.000    0.023    0.000 kv_cache_coordinator.py:143(allocate_new_blocks)
     3294    0.006    0.000    0.021    0.000 kv_cache_coordinator.py:71(get_num_blocks_to_allocate)
      300    0.000    0.000    0.019    0.000 ft_scheduler.py:248(run_checkpoint_step)
      300    0.001    0.000    0.019    0.000 checkpoint_controller.py:345(get_requests_to_checkpoint)
      300    0.008    0.000    0.018    0.000 scheduler.py:1165(_make_cached_request_data)
     3303    0.003    0.000    0.018    0.000 checkpoint_controller.py:309(should_checkpoint)
     6588    0.004    0.000    0.018    0.000 kv_cache_coordinator.py:167(<genexpr>)
     3294    0.002    0.000    0.014    0.000 kv_cache_coordinator.py:178(cache_blocks)
      300    0.006    0.000    0.013    0.000 async_scheduler.py:13(_update_after_schedule)
     3294    0.003    0.000    0.012    0.000 single_type_kv_cache_manager.py:235(cache_blocks)
     3294    0.007    0.000    0.011    0.000 single_type_kv_cache_manager.py:73(get_num_blocks_to_allocate)
     3294    0.004    0.000    0.010    0.000 single_type_kv_cache_manager.py:208(allocate_new_blocks)
     7246    0.003    0.000    0.009    0.000 {built-in method builtins.isinstance}
     3351    0.002    0.000    0.009    0.000 checkpoint_controller.py:302(get_checkpoint_level)
      233    0.003    0.000    0.008    0.000 block_pool.py:209(cache_full_blocks)
     3351    0.002    0.000    0.007    0.000 checkpoint_controller.py:187(_get_reporting_level)
     3303    0.003    0.000    0.007    0.000 checkpoint_controller.py:265(_should_checkpoint_by_economic_policy)
     3294    0.003    0.000    0.007    0.000 kv_cache_manager.py:65(get_block_ids)
    50619    0.006    0.000    0.006    0.000 {built-in method builtins.len}
    19821    0.005    0.000    0.005    0.000 {built-in method builtins.min}
     6588    0.003    0.000    0.005    0.000 request.py:295(has_encoder_inputs)
     3351    0.003    0.000    0.005    0.000 request.py:362(generation_progress)
     6588    0.003    0.000    0.005    0.000 abc.py:117(__instancecheck__)
     3294    0.003    0.000    0.005    0.000 kv_cache_coordinator.py:218(remove_skipped_blocks)
      234    0.002    0.000    0.004    0.000 block_pool.py:300(get_new_blocks)
     4174    0.003    0.000    0.004    0.000 utils.py:387(record_function_or_nullcontext)
      300    0.002    0.000    0.004    0.000 scheduler.py:1092(_update_after_schedule)
      300    0.002    0.000    0.004    0.000 request_queue.py:303(create_request_queue)
      233    0.001    0.000    0.004    0.000 checkpoint_cost_model.py:107(should_publish)
     3274    0.001    0.000    0.004    0.000 {built-in method builtins.all}
     3274    0.002    0.000    0.003    0.000 request.py:283(num_tokens_with_spec)
      600    0.001    0.000    0.003    0.000 _collections_abc.py:821(get)
     6648    0.002    0.000    0.003    0.000 request.py:279(num_tokens)
     6588    0.002    0.000    0.003    0.000 request.py:291(num_encoder_inputs)
     3334    0.002    0.000    0.003    0.000 kv_cache_manager.py:486(create_kv_cache_blocks)
     6588    0.003    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
     3294    0.002    0.000    0.003    0.000 single_type_kv_cache_manager.py:343(remove_skipped_blocks)
    15142    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
