FT_API_PROFILE: captured ~60s of API server cProfile (cumulative time, top 80)

         4659069 function calls (4570681 primitive calls) in 8.075 seconds

   Ordered by: cumulative time
   List reduced from 856 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2972    0.043    0.000    3.211    0.001 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/ft_client.py:389(ft_process_outputs_socket)
     3102    0.036    0.000    2.847    0.001 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/ft_client.py:1501(process_engine_outputs)
      107    0.002    0.000    2.796    0.026 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/ft_client.py:184(_cleanup_shared_checkpoint_request)
      107    0.003    0.000    2.793    0.026 /usr/lib/python3.10/shutil.py:688(rmtree)
      104    0.003    0.000    2.782    0.027 /usr/lib/python3.10/shutil.py:627(_rmtree_safe_fd)
      312    2.776    0.009    2.776    0.009 {built-in method posix.unlink}
    28738    0.017    0.000    2.307    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/responses.py:272(wrap)
    28534    0.160    0.000    2.276    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/responses.py:245(stream_response)
    57282    0.448    0.000    1.838    0.000 /home/jlpang/my-vllm-serving-system/vllm/entrypoints/openai/chat_completion/serving.py:628(chat_completion_stream_generator)
     2972    0.045    0.000    1.660    0.001 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/async_llm.py:645(output_handler)
     3102    0.132    0.000    1.246    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/output_processor.py:577(process_outputs)
    86020    0.057    0.000    0.817    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/pydantic/main.py:240(__init__)
    86117    0.098    0.000    0.788    0.000 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
143292/86020    0.402    0.000    0.619    0.000 /home/jlpang/my-vllm-serving-system/vllm/entrypoints/openai/engine/protocol.py:35(__log_extra_fields__)
    29035    0.111    0.000    0.351    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/detokenizer.py:94(update)
    29035    0.056    0.000    0.346    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/output_processor.py:264(make_request_output)
     2982    0.006    0.000    0.308    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/zmq/asyncio.py:151(<lambda>)
     2984    0.063    0.000    0.302    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/zmq/_future.py:670(_handle_events)
    29035    0.033    0.000    0.300    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/output_processor.py:774(_update_stats_from_output)
    56971    0.059    0.000    0.300    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/async_llm.py:524(generate)
     3102    0.009    0.000    0.298    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/metrics/loggers.py:1254(record)
    29035    0.093    0.000    0.267    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/metrics/stats.py:256(update_from_output)
     3102    0.048    0.000    0.263    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/metrics/loggers.py:989(record)
57904/28952    0.047    0.000    0.257    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/_exception_handler.py:34(sender)
