FT_API_PROFILE: captured ~60s of API server cProfile (cumulative time, top 80)

         4725427 function calls (4635087 primitive calls) in 4.968 seconds

   Ordered by: cumulative time
   List reduced from 856 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    29390    0.016    0.000    2.268    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/responses.py:272(wrap)
    29187    0.156    0.000    2.240    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/responses.py:245(stream_response)
    58586    0.435    0.000    1.816    0.000 /home/jlpang/my-vllm-serving-system/vllm/entrypoints/openai/chat_completion/serving.py:628(chat_completion_stream_generator)
     3087    0.040    0.000    1.516    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/async_llm.py:645(output_handler)
     3117    0.120    0.000    1.131    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/output_processor.py:577(process_outputs)
    87976    0.057    0.000    0.823    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/pydantic/main.py:240(__init__)
    88073    0.098    0.000    0.789    0.000 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
146553/87976    0.400    0.000    0.620    0.000 /home/jlpang/my-vllm-serving-system/vllm/entrypoints/openai/engine/protocol.py:35(__log_extra_fields__)
     3087    0.043    0.000    0.378    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/ft_client.py:436(ft_process_outputs_socket)
    29090    0.104    0.000    0.317    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/detokenizer.py:94(update)
    29090    0.048    0.000    0.314    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/output_processor.py:264(make_request_output)
    58277    0.057    0.000    0.294    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/async_llm.py:524(generate)
     3098    0.006    0.000    0.289    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/zmq/asyncio.py:151(<lambda>)
     3099    0.060    0.000    0.283    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/zmq/_future.py:670(_handle_events)
     3117    0.007    0.000    0.277    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/metrics/loggers.py:1254(record)
    29090    0.032    0.000    0.276    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/output_processor.py:774(_update_stats_from_output)
     3117    0.044    0.000    0.248    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/metrics/loggers.py:989(record)
59204/29602    0.045    0.000    0.247    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/_exception_handler.py:34(sender)
    29090    0.086    0.000    0.244    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/metrics/stats.py:256(update_from_output)
    29293    0.035    0.000    0.232    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/pydantic/main.py:481(model_dump_json)
    29602    0.022    0.000    0.203    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/prometheus_fastapi_instrumentator/middleware.py:166(send_wrapper)
    58171    0.060    0.000    0.194    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/output_processor.py:73(get)
     3117    0.006    0.000    0.194    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/zmq/_future.py:270(recv_multipart)
    29090    0.017    0.000    0.191    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/detokenizer.py:220(decode_next)
     3165    0.055    0.000    0.190    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/zmq/_future.py:470(_add_recv_event)
    29293    0.187    0.000    0.187    0.000 {method 'to_json' of 'pydantic_core._pydantic_core.SchemaSerializer' objects}
    29602    0.024    0.000    0.180    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/middleware/errors.py:156(_send)
     3129    0.039    0.000    0.178    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/zmq/_future.py:586(_handle_recv)
    29478    0.020    0.000    0.174    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/detokenizer.py:233(_protected_step)
    32334    0.019    0.000    0.166    0.000 /home/jlpang/my-vllm-serving-system/vllm/envs.py:1632(__getattr__)
    29602    0.111    0.000    0.157    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/uvicorn/protocols/http/httptools_impl.py:462(send)
    29478    0.154    0.000    0.154    0.000 {method 'step' of 'tokenizers.decoders.DecodeStream' objects}
     2965    0.014    0.000    0.149    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/ft_client.py:1250(_solve_epoch_loop)
    32219    0.029    0.000    0.145    0.000 /home/jlpang/my-vllm-serving-system/vllm/envs.py:1397(<lambda>)
    29090    0.094    0.000    0.143    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/output_processor.py:328(_new_request_output)
      406    0.005    0.000    0.142    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/prometheus_fastapi_instrumentator/middleware.py:125(__call__)
    89926    0.064    0.000    0.139    0.000 {built-in method builtins.any}
